location_id,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,pressure_msl,name,country_code,region,latitude,longitude,elevation_m,country,timezone,period_rainfall_mm
sg_singapore,27.41512605042017,6.2025210084033615,2.2997619047619047,82.98984593837534,1010.647093837535,Singapore,SG,Southeast Asia,1.3521,103.8198,46.0,SG,UTC,738.1
th_bangkok,28.972128851540617,4.294117647058823,2.7264950980392157,76.0640756302521,1007.9166666666666,Bangkok,TH,Southeast Asia,13.7563,100.5018,4.0,TH,UTC,511.0
th_chiang_mai,26.72373949579832,6.203361344537815,1.3352100840336134,82.6656162464986,1007.1269607843137,Chiang Mai,TH,Southeast Asia,18.7883,98.9853,313.0,TH,UTC,738.2
th_chiang_rai,26.548039215686273,11.191596638655462,1.4160294117647059,84.96953781512605,1006.8783963585435,Chiang Rai,TH,Southeast Asia,19.9105,99.8406,397.0,TH,UTC,1331.8
th_doi_inthanon,12.755217086834735,10.258823529411764,1.551813725490196,87.05112044817928,1008.9326330532214,Doi Inthanon,TH,Southeast Asia,18.5883,98.4867,2564.0,TH,UTC,1220.8
th_khao_kho,22.639705882352942,16.559663865546216,1.6172724089635855,91.06197478991596,1008.8876050420168,Khao Kho,TH,Southeast Asia,16.6346,100.995,908.0,TH,UTC,1970.6
th_mae_hong_son,26.168382352941176,9.684873949579831,1.5166071428571428,89.02275910364146,1008.5898809523809,Mae Hong Son,TH,Southeast Asia,19.302,97.9654,260.0,TH,UTC,1152.5
th_phuket,28.27531512605042,7.837815126050421,4.984285714285714,79.80077030812325,1010.180112044818,Phuket,TH,Southeast Asia,7.8804,98.3923,6.0,TH,UTC,932.7
vn_da_lat,19.855252100840335,7.947058823529412,2.3347829131652658,87.71603641456583,1012.1006652661065,Da Lat,VN,Southeast Asia,11.9404,108.4583,1507.0,VN,UTC,945.7
vn_da_nang,29.92549019607843,2.988235294117647,1.9794152661064426,75.63725490196079,1005.6375700280112,Da Nang,VN,Southeast Asia,16.0544,108.2022,6.0,VN,UTC,355.6
vn_fansipan,11.211134453781513,12.015126050420168,1.0056372549019608,85.7594537815126,1007.5149509803921,Fansipan,VN,Southeast Asia,22.3033,103.775,3102.0,VN,UTC,1429.8
vn_hanoi,28.932002801120447,10.431932773109244,1.9385504201680672,81.26890756302521,1003.4409313725491,Hanoi,VN,Southeast Asia,21.0278,105.8342,18.0,VN,UTC,1241.4
vn_sa_pa,21.562254901960785,12.015126050420168,1.0056372549019608,86.71638655462185,1007.5149509803921,Sa Pa,VN,Southeast Asia,22.3364,103.8438,1514.0,VN,UTC,1429.8
